Titulo do imóvel,Tipo do imóvel,Preço,Valor Condomínio,Bairro,Link para o anúncio,Origem,Quartos,Suítes,Área do imóvel
"Sobrado para Locação, JARDIM CONCÓRDIA, TOLEDO - PR ",Residencial,5600,0,jardim concórdia,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7957,Aliança,0,3,180.0,
"Apartamento para locação, CENTRO, TOLEDO - PR ",Residencial,4500,350,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7959,Aliança,0,3,175.0,
"Apartamento para locação, CENTRO, TOLEDO - PR ",Residencial,2500,0,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7963,Aliança,2,1,140.0,
"Apartamento para locação,309.09 m , VILA INDUSTRIAL, TOLEDO - PR ",Residencial,5900,,vila industrial,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7981,Aliança,0,0,170.54,
"Apartamento para locação,309.09 m , VILA INDUSTRIAL, TOLEDO - PR ",Residencial,5900,,vila industrial,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7982,Aliança,0,0,170.54,
"Sala Comercial para locação, CENTRO, TOLEDO - PR ",Sala Comercial,4900,0,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7983,Aliança,0,0,160.0,
Barracão de esquina no Jardim Coopagro em Toledo  PR ,Barracão,3250,0,jardim coopagro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7986,Aliança,0,0,273.0,
"Apartamento, CENTRO, TOLEDO - PR ",Residencial,1200,250,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7987,Aliança,1,0,38.04,
"Sala Comercial para locação, CENTRO, TOLEDO - PR ",Sala Comercial,1700,0,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7989,Aliança,0,0,536.5,
"Apartamento, JARDIM CONCÓRDIA, TOLEDO - PR ",Residencial,2000,0,jardim concórdia,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7991,Aliança,2,0,102.46,
"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",Residencial,2200,350,jardim pancera,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7998,Aliança,1,1,115.0,
"Apartamento para locação, EDIFICIO SARTURI CENTRO, TOLEDO - PR ",Residencial,2350,250,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8000,Aliança,2,0,69.0,
"Sala Comercial para locação, CENTRO, TOLEDO - PR ",Sala Comercial,10000,0,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8001,Aliança,1,0,560.0,
"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",Residencial,1600,0,vila pioneiro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8004,Aliança,2,0,72.43,
"Apartamento para locação, JARDIM GISELA, TOLEDO - PR ",Residencial,2000,300,jardim gisela,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8005,Aliança,2,0,70.0,
"Casa para locação, CENTRO, TOLEDO - PR ",Residencial,3900,0,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8010,Aliança,2,1,150.0,
"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",Residencial,3000,0,jardim concórdia,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8012,Aliança,2,1,0.01,
"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",Residencial,1300,250,jardim la salle,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8024,Aliança,2,0,66.0,
"Apartamento para locação, VILA INDUSTRIAL, TOLEDO - PR ",Residencial,1500,300,vila industrial,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8025,Aliança,2,0,70.47,
"Apartamento para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",Residencial,1300,250,jardim concórdia,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8027,Aliança,2,0,74.29,
"Apartamento para locação, CENTRO, TOLEDO - PR ",Residencial,4000,550,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8048,Aliança,2,1,200.0,
"Sobrado em chácara para locação, Jardim Coopagro, TOLEDO - PR ",Residencial,5900,0,jardim coopagro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8049,Aliança,2,1,3000.0,
"Barracão para locação, VILA BECKER, TOLEDO - PR ",Barracão,13000,,vila becker,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=8050,Aliança,0,0,550.2,
TERRENO BAIRRO CENTRO ,Terreno,2700000,0,centro,https://www.imobiliariaaliancatoledo.com.br/detalhes-do-imovel.asp?id=7154,Aliança,0,0,900.0,
KITNET DISPONÍVEL PARA LOCAÇÃO NO JD. COOPAGRO - TOLEDO - PR,Sala Comercial,900,,Jardim Coopagro,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/jardim-coopagro/kitnet-disponivel-para-locacao-no-jd--coopagro---toledo---pr/594385,La Salle,2,0,35.0,
"APARTAMENTO COM 01 QUARTO PARA LOCAÇÃO, VILA BECKER - TOLEDO PR",Sala Comercial,1150, 150,Vila Becker,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/vila-becker/apartamento-com-01-quarto-para-locacao--vila-becker---toledo-pr/873620,La Salle,1,0,,
"Apartamento para locação, Jardim Santa Maria, TOLEDO - PR",Sala Comercial,1200, 250,Jardim Santa Maria,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/jardim-santa-maria/apartamento-para-locacao--jardim-santa-maria--toledo---pr/365364,La Salle,2,0,65.0,
"Apartamento para locação, Jardim Santa Maria, TOLEDO - PR",Sala Comercial,1300, 180,Jardim Santa Maria,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/jardim-santa-maria/apartamento-para-locacao--jardim-santa-maria--toledo---pr/869640,La Salle,2,0,55.0,
"Apartamento com 2 dormitórios para locação, Jardim La Salle, TOLEDO - PR",Sala Comercial,1550, 300,Jardim La Salle,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/jardim-la-salle/apartamento-com-2-dormitorios-para-locacao--jardim-la-salle--toledo---pr/663455,La Salle,2,0,73.16,
"Casa para locação, Vila Becker, TOLEDO - PR",Sala Comercial,1600,,Vila Becker,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/vila-becker/casa-para-locacao--vila-becker--toledo---pr/880497,La Salle,1,1,,
"CASA  03 QUARTO PARA LOCAÇÃO, EXCELENTE VILA BECKER - TOLEDO PR",Sala Comercial,1600,,Vila Becker,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/vila-becker/casa--03-quarto-para-locacao--excelente-vila-becker---toledo-pr/880510,La Salle,3,0,600.0,
SOBRADO COM 01 SUÍTE E 01 QUARTO PARA LOCAÇÃO NO CENTRO DE TOLEDO PR,Sala Comercial,1600,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/sobrado/toledo-pr/centro/sobrado-com-01-suite-e-01-quarto-para-locacao-no-centro-de-toledo-pr/853496,La Salle,1,1,62.0,
"CASA NOVA COM 03 QUARTOS PARA LOCAÇÃO, JD. SÃO FRANCISCO - TOLEDO PR",Sala Comercial,1650,,Jardim São Francisco,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/jardim-sao-francisco/casa-nova-com-03-quartos-para-locacao--jd--sao-francisco---toledo-pr/804109,La Salle,3,0,125.0,
APARTAMENTO COM 01 SUÍTE E 02 QUARTOS PARA LOCAÇÃO NO CENTRO - TOLEDO PR,Sala Comercial,1750, 380,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/centro/apartamento-com-01-suite-e-02-quartos-para-locacao-no-centro---toledo-pr/236831,La Salle,2,1,,
"APARTAMENTO SEMI MOBILIADO PARA LOCAÇÃO, VILA INDUSTRIAL - TOLEDO PR",Sala Comercial,1750, 300,Vila Industrial,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/vila-industrial/apartamento-semi-mobiliado-para-locacao--vila-industrial---toledo-pr/855663,La Salle,2,0,,
"Apartamento com 2 dormitórios para locação, Vila Industrial, TOLEDO - PR",Sala Comercial,1750, 300,Vila Industrial,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/vila-industrial/apartamento-com-2-dormitorios-para-locacao--vila-industrial--toledo---pr/565686,La Salle,0,2,80.0,
"CASA NOVA COM 01 SUÍTE E 01 QUARTO PARA LOCAÇÃO, JD. COOPAGRO - TOLEDO PR",Sala Comercial,1900,,Jardim Coopagro,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/jardim-coopagro/casa-nova-com-01-suite-e-01-quarto-para-locacao--jd--coopagro---toledo-pr/851821,La Salle,1,1,125.0,
"Casa para locação, Jardim Pancera, TOLEDO - PR",Sala Comercial,2000,,Jardim Pancera,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/jardim-pancera/casa-para-locacao--jardim-pancera--toledo---pr/356918,La Salle,3,0,105.0,
"APARTAMENTO SEMI MOBILIADO DISPONÍVEL PARA LOCAÇÃO, JD. LA SALLE - TOLEDO PR",Sala Comercial,2100, 300,Jardim La Salle,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/jardim-la-salle/apartamento-semi-mobiliado-disponivel-para-locacao--jd--la-salle---toledo-pr/811350,La Salle,2,0,,
"APARTAMENTO COM 01 SUÍTE E 01 QUARTO PARALOCAÇÃO, VILA PIONEIRO - TOLEDO PR",Sala Comercial,2200,,Vila Pioneiro,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/vila-pioneiro/apartamento-com-01-suite-e-01-quarto-paralocacao--vila-pioneiro---toledo-pr/873262,La Salle,1,1,,
CASA COM 01 SUÍTE E 02 QUARTOS PARA LOCAÇÃO NO CENTRO DE TOLEDO PR,Sala Comercial,2250,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/centro/casa-com-01-suite-e-02-quartos-para-locacao-no-centro-de-toledo-pr/811564,La Salle,2,1,237.59,
"Apartamento para locação, Jardim Tocantins, TOLEDO - PR",Sala Comercial,2500, 300,Jardim Tocantins,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/jardim-tocantins/apartamento-para-locacao--jardim-tocantins--toledo---pr/860175,La Salle,1,1,,
"APARTAMENTO SEMI MOBILIADO PARA LOCAÇÃO, CENTRO - TOLEDO PR",Sala Comercial,2500, 350,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/centro/apartamento-semi-mobiliado-para-locacao--centro---toledo-pr/871446,La Salle,1,1,118.0,
"SALA COMERCIAL PARA LOCAÇÃO NA AVENIDA MINISTRO CIRNE LIMA, TOLEDO - PR",Sala Comercial,2500,,Vila Becker,https://www.imobiliarialasalle.com.br/imovel/locacao/sala-comercial/toledo-pr/vila-becker/sala-comercial-para-locacao-na-avenida-ministro-cirne-lima--toledo---pr/478315,La Salle,0,0,120.0,
"Loja para locação, Centro, TOLEDO - PR",Sala Comercial,2500,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/loja/toledo-pr/centro/loja-para-locacao--centro--toledo---pr/511111,La Salle,0,0,28.0,
"Apartamento para locação, Jardim Tocantins, TOLEDO - PR",Sala Comercial,2500, 300,Jardim Tocantins,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/jardim-tocantins/apartamento-para-locacao--jardim-tocantins--toledo---pr/861836,La Salle,1,1,,
"SOBRADO PARA LOCAÇÃO COM 01 SUÍTE E 02 QUARTOS, JD. COOPAGRO - TOLEDO PR",Sala Comercial,2500,,Jardim Coopagro,https://www.imobiliarialasalle.com.br/imovel/locacao/sobrado/toledo-pr/jardim-coopagro/sobrado-para-locacao-com-01-suite-e-02-quartos--jd--coopagro---toledo-pr/853390,La Salle,2,1,110.0,
"DUPLEX COM 01 SUÍTE E 04 QUARTOS PARA LOCAÇÃO, CENTRO - TOLEDO PR",Sala Comercial,2750,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/centro/duplex-com-01-suite-e-04-quartos-para-locacao--centro---toledo-pr/837319,La Salle,4,1,,
"Sala Comercial para locação, Vila Pioneiro, TOLEDO - PR",Sala Comercial,2800,,Vila Pioneiro,https://www.imobiliarialasalle.com.br/imovel/locacao/sala-comercial/toledo-pr/vila-pioneiro/sala-comercial-para-locacao--vila-pioneiro--toledo---pr/863120,La Salle,0,0,,
"SOBRADO COM 02 QUARTOS DISPONÍVEL PARA LOCAÇÃO, JD. PARIZZOTTO - TOLEDO PR",Sala Comercial,3000,,Jardim Parizotto,https://www.imobiliarialasalle.com.br/imovel/locacao/sobrado/toledo-pr/jardim-parizotto/sobrado-com-02-quartos-disponivel-para-locacao--jd--parizzotto---toledo-pr/781904,La Salle,2,0,70.0,
SALA COMERCIAL DISPONÍVEL PARA LOCAÇÃO NO CENTRO DE TOLEDO PR,Sala Comercial,3000,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/sala-comercial/toledo-pr/centro/sala-comercial-disponivel-para-locacao-no-centro-de-toledo-pr/870604,La Salle,0,0,,
CASA SEMI MOBILIADA PARA LOCAÇÃO NO JD. CONCORDIA  - TOLEDO PR,Sala Comercial,3000,,Jardim Concórdia,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/jardim-concordia/casa-semi-mobiliada-para-locacao-no-jd--concordia----toledo-pr/875263,La Salle,2,1,,
"CASA COM 01 SUÍTE E 02 QUARTOS PARA LOCAÇÃO, VILA INDUSTRIAL - TOLEDO PR",Sala Comercial,3100,,Vila Industrial,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/vila-industrial/casa-com-01-suite-e-02-quartos-para-locacao--vila-industrial---toledo-pr/804649,La Salle,2,1,195.0,
"APARTAMENTO COM 03 SUÍTES PARA LOCAÇÃO, CENTRO DE TOLEDO PR",Sala Comercial,3400, 500,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/centro/apartamento-com-03-suites-para-locacao--centro-de-toledo-pr/875365,La Salle,0,3,195.0,
"Barracão para locação, Centro, TOLEDO - PR",Barracão,3500,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/barracao/toledo-pr/centro/barracao-para-locacao--centro--toledo---pr/757646,La Salle,0,0,240.0,
"SOBRADO COM 03 SUÍTES PARA LOCAÇÃO NO JARDIM GISELA, TOLEDO PR",Sala Comercial,3600,,Jardim Gisela,https://www.imobiliarialasalle.com.br/imovel/locacao/sobrado/toledo-pr/jardim-gisela/sobrado-com-03-suites-para-locacao-no-jardim-gisela--toledo-pr/866165,La Salle,0,3,138.0,
"Sala Comercial para locação, Centro, TOLEDO - PR",Sala Comercial,3700, 200,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/sala-comercial/toledo-pr/centro/sala-comercial-para-locacao--centro--toledo---pr/687601,La Salle,0,0,,
"Apartamento com 3 dormitórios para locação, Jardim La Salle, TOLEDO - PR",Sala Comercial,3800, 420,Jardim La Salle,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/jardim-la-salle/apartamento-com-3-dormitorios-para-locacao--jardim-la-salle--toledo---pr/641439,La Salle,2,1,120.0,
"SOBRADO SEMI MOBILIADO PARA LOCAÇÃO COM 01 SUÍTE E 02 QUARTOS, CENTRO - TOLEDO PR",Sala Comercial,3900,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/sobrado/toledo-pr/centro/sobrado-semi-mobiliado-para-locacao-com-01-suite-e-02-quartos--centro---toledo-pr/877105,La Salle,2,1,,
"CASA NOVA COM 01 SUÍTE E 02 QUARTO PARA LOCAÇÃO, JARDIM PANCERA - TOLEDO PR",Sala Comercial,3900,,Jardim Pancera,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/jardim-pancera/casa-nova-com-01-suite-e-02-quarto-para-locacao--jardim-pancera---toledo-pr/880320,La Salle,2,1,,
"APARTAMENTO COM 01 SUÍTE E 02 QUARTOS PARA LOCAÇÃO, CENTRO - TOLEDO PR",Sala Comercial,4300, 400,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/apartamento/toledo-pr/centro/apartamento-com-01-suite-e-02-quartos-para-locacao--centro---toledo-pr/811617,La Salle,2,1,164.0,
"SOBRADO COM PISCINA PARA LOCAÇÃO, JD. CONCÓRDIA - TOLEDO PR",Sala Comercial,5600,,Jardim Concórdia,https://www.imobiliarialasalle.com.br/imovel/locacao/sobrado/toledo-pr/jardim-concordia/sobrado-com-piscina-para-locacao--jd--concordia---toledo-pr/873067,La Salle,0,3,175.0,
SOBRADO EM CHÁCARA  DISPONIVEL PARA LOCAÇÃO NO JARDIM COOPAGRO - TOLEDO - PR,Sala Comercial,5900,,Jardim Coopagro,https://www.imobiliarialasalle.com.br/imovel/locacao/sobrado/toledo-pr/jardim-coopagro/sobrado-em-chacara--disponivel-para-locacao-no-jardim-coopagro---toledo---pr/556492,La Salle,0,0,3000.0,
"Casa com 3 dormitórios para locação, Jardim Pancera, TOLEDO - PR",Sala Comercial,6250,,Jardim Pancera,https://www.imobiliarialasalle.com.br/imovel/locacao/casa/toledo-pr/jardim-pancera/casa-com-3-dormitorios-para-locacao--jardim-pancera--toledo---pr/634826,La Salle,2,1,514.85,
"BARRACÃO DISPONÍVEL PARA LOCAÇÃO, JARDIM TOCANTINS - TOLEDO PR",Barracão,6900,,Jardim Tocantins,https://www.imobiliarialasalle.com.br/imovel/locacao/barracao/toledo-pr/jardim-tocantins/barracao-disponivel-para-locacao--jardim-tocantins---toledo-pr/873155,La Salle,0,0,,
Baracão para Locação com excelente localização no Bairro Tocantins,Barracão,9000,,JD. TOCANTINS,https://www.imobiliarialasalle.com.br/imovel/locacao/barracao/toledo-pr/jd--tocantins/baracao-para-locacao-com-excelente-localizacao-no-bairro-tocantins/877021,La Salle,0,0,500.0,
"Sobrado com 7 dormitórios para locação, Centro, TOLEDO - PR",Sala Comercial,11000,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/sobrado/toledo-pr/centro/sobrado-com-7-dormitorios-para-locacao--centro--toledo---pr/481659,La Salle,0,0,490.0,
SALA COMERCIAL COM 560 MT  DISPONÍVEL PARA LOCAÇÃO NO CENTRO - TOLEDO PR,Sala Comercial,12000,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/sala-comercial/toledo-pr/centro/sala-comercial-com-560-mt--disponivel-para-locacao-no-centro---toledo-pr/775333,La Salle,0,0,560.0,
"SALA COMERCIAL COM 992M  DISPONÍVEL PARA LOCAÇÃO NO CENTRO, TOLEDO PR",Sala Comercial,23000,,Centro,https://www.imobiliarialasalle.com.br/imovel/locacao/sala-comercial/toledo-pr/centro/sala-comercial-com-992m--disponivel-para-locacao-no-centro--toledo-pr/818957,La Salle,0,0,992.0,
Casa 2 Quartos Sao Francisco 56m²,Residencial,1400.0,0,Sao Francisco,https://lokatell.com.br/imovel/14376/casa-2-quartos-sao-francisco-toledo/,Lokatell,2,0,56.0
Apartamento 3 Quartos Jardim La Salle 80m²,Residencial,1850.0,280,Jardim La Salle,https://lokatell.com.br/imovel/2963/apartamento-3-quartos-jardim-la-salle-toledo/,Lokatell,3,1,80.0
Casa 3 Quartos Jardim Panorama 75m²,Residencial,1450.0,0,Jardim Panorama,https://lokatell.com.br/imovel/10140/casa-3-quartos-jardim-panorama-toledo/,Lokatell,3,1,75.0
Casa 3 Quartos Vila Industrial 80m²,Residencial,2700.0,0,Vila Industrial,https://lokatell.com.br/imovel/6435/casa-3-quartos-vila-industrial-toledo/,Lokatell,0,0,0.0
Apartamento 2 Quartos Jardim Coopagro 60m²,Residencial,1200.0,290,Jardim Coopagro,https://lokatell.com.br/imovel/324/apartamento-2-quartos-jardim-coopagro-toledo/,Lokatell,2,0,60.0
Casa 4 Quartos Jardim Pancera 343m²,Residencial,4500.0,0,Jardim Pancera,https://lokatell.com.br/imovel/18996/casa-4-quartos-jardim-pancera-toledo/,Lokatell,4,1,343.0
Casa 2 Quartos Jardim Gisela 70m²,Residencial,2200.0,0,Jardim Gisela,https://lokatell.com.br/imovel/19076/casa-2-quartos-jardim-gisela-toledo/,Lokatell,2,0,70.0
Apartamento 2 Quartos Vila Industrial 70m²,Residencial,1500.0,220,Vila Industrial,https://lokatell.com.br/imovel/6333/apartamento-2-quartos-vila-industrial-toledo/,Lokatell,2,0,70.0
Apartamento 2 Quartos Jardim Coopagro 56m²,Residencial,1290.0,350,Jardim Coopagro,https://lokatell.com.br/imovel/7085/apartamento-2-quartos-jardim-coopagro-toledo/,Lokatell,2,0,56.0
Casa 2 Quartos Jardim Coopagro 63m²,Residencial,2000.0,0,Jardim Coopagro,https://lokatell.com.br/imovel/18991/casa-2-quartos-jardim-coopagro-toledo/,Lokatell,2,1,63.0
Casa 3 Quartos Jardim Panorama 200m²,Residencial,3100.0,0,Jardim Panorama,https://lokatell.com.br/imovel/19142/casa-3-quartos-jardim-panorama-toledo/,Lokatell,3,1,200.0
Sobrado 3 Quartos Jardim Pancera 80m²,Residencial,1800.0,100,Jardim Pancera,https://lokatell.com.br/imovel/15724/sobrado-3-quartos-jardim-pancera-toledo/,Lokatell,3,0,80.0
Apartamento 2 Quartos Jardim Pancera 65m²,Residencial,1350.0,250,Jardim Pancera,https://lokatell.com.br/imovel/19024/apartamento-2-quartos-jardim-pancera-toledo/,Lokatell,2,0,65.0
Casa 3 Quartos Jardim Parizzotto 72m²,Residencial,1800.0,70,Jardim Parizzotto,https://lokatell.com.br/imovel/13254/casa-3-quartos-jardim-parizzotto-toledo/,Lokatell,3,0,72.0
Casa 2 Quartos Jardim Porto Alegre 50m²,Residencial,1100.0,180,Jardim Porto Alegre,https://lokatell.com.br/imovel/115/casa-2-quartos-jardim-porto-alegre-toledo/,Lokatell,2,0,50.0
Apartamento 2 Quartos Sao Francisco 55m²,Residencial,1200.0,245,Sao Francisco,https://lokatell.com.br/imovel/18673/apartamento-2-quartos-sao-francisco-toledo/,Lokatell,2,0,55.0
Casa 3 Quartos Jardim Pancera 105m²,Residencial,2300.0,0,Jardim Pancera,https://lokatell.com.br/imovel/18237/casa-3-quartos-jardim-pancera-toledo/,Lokatell,3,0,105.0
Casa 2 Quartos Jardim Coopagro 70m²,Residencial,1900.0,0,Jardim Coopagro,https://lokatell.com.br/imovel/18484/casa-2-quartos-jardim-coopagro-toledo/,Lokatell,2,1,70.0
Apartamento 3 Quartos Centro 206m²,Residencial,3500.0,350,Centro,https://lokatell.com.br/imovel/17406/apartamento-3-quartos-centro-toledo/,Lokatell,3,1,206.0
Casa 3 Quartos Centro 169m²,Residencial,4000.0,0,Centro,https://lokatell.com.br/imovel/12406/casa-3-quartos-centro-toledo/,Lokatell,3,0,169.0
Casa 4 Quartos Sede Alvorada 150m²,Residencial,2000.0,0,Sede Alvorada,https://lokatell.com.br/imovel/18120/casa-4-quartos-sede-alvorada-toledo/,Lokatell,4,0,150.0
Apartamento 2 Quartos Jardim Coopagro 70m²,Residencial,1290.0,250,Jardim Coopagro,https://lokatell.com.br/imovel/77/apartamento-2-quartos-jardim-coopagro-toledo/,Lokatell,2,0,70.0
Apartamento 2 Quartos Jardim Concordia 53m²,Residencial,1700.0,250,Jardim Concordia,https://lokatell.com.br/imovel/18362/apartamento-2-quartos-jardim-concordia-toledo/,Lokatell,2,0,53.0
Casa 2 Quartos Sao Francisco 60m²,Residencial,2100.0,0,Sao Francisco,https://lokatell.com.br/imovel/16556/casa-2-quartos-sao-francisco-toledo/,Lokatell,2,0,60.0
Casa 3 Quartos Jardim Europa 72m²,Residencial,1400.0,0,Jardim Europa,https://lokatell.com.br/imovel/16463/casa-3-quartos-jardim-europa-toledo/,Lokatell,3,0,72.0
Apartamento 2 Quartos Vila Becker 43m²,Residencial,1500.0,250,Vila Becker,https://lokatell.com.br/imovel/13753/apartamento-2-quartos-vila-becker-toledo/,Lokatell,2,0,43.0
Casa 1 Quarto Jardim Parizzotto 55m²,Residencial,1800.0,0,Jardim Parizzotto,https://lokatell.com.br/imovel/13010/casa-1-quarto-jardim-parizzotto-toledo/,Lokatell,1,1,55.0
Apartamento 2 Quartos Tocantins 70m²,Residencial,1700.0,0,Tocantins,https://lokatell.com.br/imovel/18569/apartamento-2-quartos-tocantins-toledo/,Lokatell,2,0,70.0
Apartamento 2 Quartos Jardim Pancera 70m²,Residencial,1900.0,280,Jardim Pancera,https://lokatell.com.br/imovel/6709/apartamento-2-quartos-jardim-pancera-toledo/,Lokatell,2,0,70.0
Casa 2 Quartos Jardim Pancera 55m²,Residencial,1520.0,0,Jardim Pancera,https://lokatell.com.br/imovel/18891/casa-2-quartos-jardim-pancera-toledo/,Lokatell,2,0,55.0
Apartamento 3 Quartos Jardim La Salle 130m²,Residencial,3600.0,350,Jardim La Salle,https://lokatell.com.br/imovel/18773/apartamento-3-quartos-jardim-la-salle-toledo/,Lokatell,3,1,130.0
Casa 3 Quartos Centro 150m²,Residencial,4500.0,0,Centro,https://lokatell.com.br/imovel/18894/casa-3-quartos-centro-toledo/,Lokatell,3,1,150.0
Apartamento 2 Quartos Jardim Pancera 65m²,Residencial,2200.0,350,Jardim Pancera,https://lokatell.com.br/imovel/18519/apartamento-2-quartos-jardim-pancera-toledo/,Lokatell,2,0,65.0
Casa 3 Quartos Centro 79m²,Residencial,2600.0,0,Centro,https://lokatell.com.br/imovel/9707/casa-3-quartos-centro-toledo/,Lokatell,3,1,79.0
Sobrado 2 Quartos Jardim Santa Maria 219m²,Residencial,4450.0,0,Jardim Santa Maria,https://lokatell.com.br/imovel/18695/sobrado-2-quartos-jardim-santa-maria-toledo/,Lokatell,2,2,219.0
Casa 3 Quartos Tocantins 184m²,Residencial,6000.0,0,Tocantins,https://lokatell.com.br/imovel/18592/casa-3-quartos-tocantins-toledo/,Lokatell,3,1,184.0
,Residencial,6000.0,0,,https://lokatell.com.br/imovel/18892/casa-3-quartos-jardim-pancera-toledo/,Lokatell,3,0,65.0
Sobrado 3 Quartos Jardim Anapolis 138m²,Residencial,3600.0,0,Jardim Anapolis,https://lokatell.com.br/imovel/18622/sobrado-3-quartos-jardim-anapolis-toledo/,Lokatell,3,3,138.0
Apartamento 2 Quartos Jardim Concordia 53m²,Residencial,1600.0,250,Jardim Concordia,https://lokatell.com.br/imovel/18906/apartamento-2-quartos-jardim-concordia-toledo/,Lokatell,2,0,53.0
Apartamento 2 Quartos Centro 55m²,Residencial,1350.0,130,Centro,https://lokatell.com.br/imovel/12404/apartamento-2-quartos-centro-toledo/,Lokatell,2,0,55.0
Sobrado 3 Quartos Jardim Concordia 160m²,Residencial,5600.0,0,Jardim Concordia,https://lokatell.com.br/imovel/19019/sobrado-3-quartos-jardim-concordia-toledo/,Lokatell,3,3,160.0
Apartamento 2 Quartos Jardim Concordia 55m²,Residencial,1300.0,250,Jardim Concordia,https://lokatell.com.br/imovel/18804/apartamento-2-quartos-jardim-concordia-toledo/,Lokatell,2,0,55.0
Casa Comercial Jardim La Salle 175m²,Residencial,6000.0,0,Jardim La Salle,https://lokatell.com.br/imovel/17443/casa-comercial-3-quartos-jardim-la-salle-toledo/,Lokatell,0,0,175.0
