Titulo do imóvel,Tipo,Preço,Valor Condominio,Quartos,Suítes,Área Total,Bairro,Link para o anúncio,Origem
Comercial - Barracão,Sala Comercial,R$ 19.000.00,R$ None,,,550.20 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Barracao/Jardim-Santa-Maria/10239,Imobiliaria Ativa
Apartamento com 1 suite 1 dormitorio e semi mobiliado- Jardim Tocantins,Apartamento,R$ 2.800.00,R$ 250.00,1,1,,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/13097,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 13.000.00,R$ None,,,400 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/1994,Imobiliaria Ativa
Barracão para locação em uma das principais avenidas de Toledo- Avenida Maripá,Barracão,R$ 7.400.00,R$ None,,,296 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Centro/12865,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 1.350.00,R$ None,,,75 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Sala-Comercial-em-Condominio/Jardim-Coopagro/2815,Imobiliaria Ativa
Comercial - Barracão,Sala Comercial,R$ 7.000.00,R$ None,,,550 m²,Jardim Europa/America - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Jardim-EuropaAmerica/11693,Imobiliaria Ativa
Comercial/Sala Comercial 01 - Comercial - No bairro Centro,Sala Comercial,R$ 5.000.00,R$ None,,,151.05 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/11929,Imobiliaria Ativa
Barracão com otima localização na Avenida Ministro Cirnei Lima,Barracão,R$ 10.000.00,R$ None,,,404.61 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Jardim-Tocantins/12728,Imobiliaria Ativa
Sobrado novo para locação. com 3 suites. sacadas e com piscina- Jardim Concordia,Sobrado,R$ 5.600.00,R$ None,3,3,,Jardim Concórdia - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Sobrado/Jardim-Concordia/13175,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,1,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/13001,Imobiliaria Ativa
Apartamento - Flat,Apartamento,R$ 2.300.00,R$ 350.00,1,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Flat/Centro/7173,Imobiliaria Ativa
Comercial - Barracão,Sala Comercial,R$ 8.000.00,R$ None,,,556 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Barracao/Jardim-Gisela/9047,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 12.700.00,R$ None,,,300 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/4539,Imobiliaria Ativa
Sala Comercial 01 e 02. ampla com excelente localização,Sala Comercial,R$ 5.500.00,R$ None,,,220 m²,Vila Becker - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Becker/12247,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.850.00,R$ 250.00,3,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Pancera/2548,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 10.500.00,R$ None,,,134.82 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-La-Salle/10315,Imobiliaria Ativa
Comercial/Sala Comercial - Comercial - No bairro Centro,Sala Comercial,R$ 12.000.00,R$ None,,,398 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/11931,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 2.700.00,R$ None,,,58.50 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/12330,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,1,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/13004,Imobiliaria Ativa
Imóvel comercial com pátio adequado para manobras de veículos pesados e carretas,Sala Comercial,R$ 12.000.00,R$ None,,,800 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Jardim-Gisela/13094,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 5.600.00,R$ None,,,228.83 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Jardim-La-Salle/1871,Imobiliaria Ativa
Sala Nova Comercial SALA 05 - Avenida Maripá,Sala Comercial,R$ 2.800.00,R$ None,,,72 m²,Vila Operaria/Boa Esperanca - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-OperariaBoa-Esperanca/12380,Imobiliaria Ativa
Apartamento Novo com uma suite e um dormitório - Vila Industrial,Apartamento,R$ 1.800.00,R$ 300.00,1,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/12997,Imobiliaria Ativa
Casa - Sobrado,Casa,R$ 8.000.00,R$ None,2,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Casa/Sobrado/Centro/429,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 4.000.00,R$ None,,,240 m²,Jardim Porto Alegre - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Porto-Alegre/2429,Imobiliaria Ativa
Apartamento com 1 suite 1 dormitorio e semi mobiliado- Jardim Tocantins,Apartamento,R$ 2.800.00,R$ 250.00,1,1,,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/13098,Imobiliaria Ativa
Galpão com Estrutura Logística Completa: Docas + Amplo Pátio,None,R$ 22.000.00,R$ None,,,1200 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Jardim-Gisela/13123,Imobiliaria Ativa
Comercial - Box,Sala Comercial,R$ 2.800.00,R$ None,,,72 m²,Jardim Independencia - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Box/Jardim-Independencia/2791,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 2.300.00,R$ None,,,37.52 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/5126,Imobiliaria Ativa
SALA COMERCIAL NOVA NO CENTRO DE TOLEDO - RUI BARBOSA,Sala Comercial,R$ 4.950.00,R$ None,,,110 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12414,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 6.000.00,R$ None,,,240 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/13125,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.250.00,R$ 250.00,2,,66.31 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/929,Imobiliaria Ativa
EDIFICIO COMERCIAL,Sala Comercial,R$ 50.000.00,R$ None,,,3298.63 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Edificio-Comercial/Centro/10663,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 8.800.00,R$ None,,,124 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/10812,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 5.000.00,R$ None,,,200 m²,Jardim Porto Alegre - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Porto-Alegre/7274,Imobiliaria Ativa
Terreno - Lote Urbano,None,R$ 2.000.00,R$ None,,,810 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Terreno/Lote-Urbano/Centro/8753,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 4.500.00,R$ None,,,90.67 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/12329,Imobiliaria Ativa
Ótima oportunidade de locação! Casa semi mobiliada no Jardim Pancera. com 1 suíte. 2 dormitórios adicionais. ambientes bem distribuídos e localização privilegiada. Ideal para quem busca conforto e praticidade!,Casa,R$ 3.750.00,R$ None,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Pancera/12848,Imobiliaria Ativa
Comercial - Barracão,Sala Comercial,R$ 4.850.00,R$ None,,,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Centro/10147,Imobiliaria Ativa
Sala Comercial com excelente localização- Jardim Panorama,Sala Comercial,R$ 2.400.00,R$ None,,,60 m²,Jardim Panorama - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Panorama/12371,Imobiliaria Ativa
Barracão comercial com excelente localização - Próximo às principais vias de acesso. ideal para empresas. depósitos ou centros de distribuição. Amplo espaço interno e fácil acesso para caminhões,Sala Comercial,R$ 6.500.00,R$ None,,,383 m²,Pinheirinho - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Barracao/Pinheirinho/12702,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,1,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/13002,Imobiliaria Ativa
Comercial - Barracão,Sala Comercial,R$ 4.900.00,R$ None,,,244.11 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Centro/3748,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 12.000.00,R$ None,,,703.44 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/11212,Imobiliaria Ativa
Barracão e sala comercial novo com energia fotovoltaica,Sala Comercial,R$ 8.100.00,R$ None,,,490 m²,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Barracao/Vila-Pioneiro/12549,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 4.000.00,R$ None,,,279.72 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/13083,Imobiliaria Ativa
Sala Comercial com amplo espaço no Jardim Panorama,Sala Comercial,R$ 2.100.00,R$ None,,,119.20 m²,Jardim Panorama - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Panorama/13128,Imobiliaria Ativa
Barracão Novo para locação em Bom Principio ampla sobra de terreno.,Barracão,R$ 5.800.00,R$ None,,,480 m²,Bom Principio (Distrito de Toledo) - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Bom-Principio-Distrito-de-Toledo/12272,Imobiliaria Ativa
SALA COMERCIAL NO CENTRO DE TOLEDO- GALERIA MAURÍCIO,Sala Comercial,R$ 800.00,R$ None,,,56 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12409,Imobiliaria Ativa
Sala Comercial com otima localização no jardim Coopagro,Sala Comercial,R$ 2.050.00,R$ None,,,95 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/12782,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,1,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/13000,Imobiliaria Ativa
SALA COMERCIAL COM UMA VAGA DE GARAGEM- CENTRO DE TOLEDO,Sala Comercial,R$ 3.200.00,R$ None,,,103.03 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/13077,Imobiliaria Ativa
Comercial - Barracão,Sala Comercial,Consulte-nos.00,R$ None,,,440 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Vila-Industrial/10515,Imobiliaria Ativa
Excelente oportunidade!,None,R$ 5.800.00,R$ None,,,386 m²,Vila Operaria/Boa Esperanca - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-OperariaBoa-Esperanca/11346,Imobiliaria Ativa
Barracão para locação a 3 KM da Cirne Lima,Barracão,R$ 8.000.00,R$ None,,,400 m²,Área Rural de Toledo - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Barracao/Area-Rural-de-Toledo/12890,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.350.00,R$ 450.00,2,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/2453,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 12.800.00,R$ None,,,206 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/12341,Imobiliaria Ativa
SALA COMERCIAL COM UMA VAGA DE GARAGEM- CENTRO DE TOLEDO,Sala Comercial,R$ 2.990.00,R$ None,,,77.82 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/13075,Imobiliaria Ativa
Terreno - Lote Urbano,None,R$ 2.200.00,R$ None,,,588 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Terreno/Lote-Urbano/Jardim-La-Salle/9927,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 2.500.00,R$ None,,,34.24 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/10712,Imobiliaria Ativa
Ampla Sala Comercial no Centro com 992mt²,Sala Comercial,R$ 28.000.00,R$ None,,,992 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12183,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,1,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/13003,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 5.700.00,R$ None,,,240 m²,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Pancera/12416,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 9.800.00,R$ None,,,267.54 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/12382,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 1.000.00,R$ None,,,30 m²,Jardim Porto Alegre - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Porto-Alegre/12803,Imobiliaria Ativa
Casa com cozinha planejada e garagem coberta no Jardim Coopagro,Casa,R$ 1.500.00,R$ None,2,,76.25 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Coopagro/13218,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 2.800.00,R$ None,,,58.50 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/12331,Imobiliaria Ativa
Sala Comercial próximo ao Lago municipal com estrutura completa para diversos segmentos.,Sala Comercial,R$ 27.000.00,R$ None,3,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Edificio-Comercial/Centro/12505,Imobiliaria Ativa
Sala Comercial segundo piso em otima localização. no centro de Toledo,Sala Comercial,R$ 2.200.00,R$ None,,,78 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12975,Imobiliaria Ativa
Apartamento semi mobiliado no JARDIM ANAPOLIS - VILA INDUSTRIAL,Apartamento,R$ 2.200.00,R$ 250.00,2,,52.53 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Apartamento/Padrao/Jardim-Gisela/13202,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 2.800.00,R$ None,,,49.05 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/5121,Imobiliaria Ativa
Oportunidade!,None,R$ 5.800.00,R$ None,,,400 m²,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Pioneiro/11347,Imobiliaria Ativa
Sala Comercial - Piratini,Sala Comercial,R$ 10.500.00,R$ None,,,285 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/11449,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 2.550.00,R$ None,,,49.60 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/12332,Imobiliaria Ativa
Comercial - Box,Sala Comercial,R$ 1.950.00,R$ None,,,60 m²,Jardim Independencia - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Box/Jardim-Independencia/2009,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 4.500.00,R$ None,,,201 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/10269,Imobiliaria Ativa
Sala Comercial com 3 pavimentos em área nobre,Sala Comercial,R$ 30.000.00,R$ None,,,842.64 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Jardim-La-Salle/11918,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 8.500.00,R$ None,,,191.85 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/12381,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 5.000.00,R$ None,,,31 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12863,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 1.900.00,R$ None,,,80 m²,Jardim Panorama - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Panorama/12957,Imobiliaria Ativa
Sala Comercial com Excelente Localização- localizada na Avenida Ministro Cirnei Lima 1773,Sala Comercial,R$ 3.500.00,R$ None,,,110 m²,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Pancera/12176,Imobiliaria Ativa
Barracão com amplo espaço. localizado na Avenida São João,Barracão,R$ 10.800.00,R$ None,,,630 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Centro/12565,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 1.500.00,R$ None,,,128.95 m²,Jardim Independencia - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Jardim-Independencia/3599,Imobiliaria Ativa
Comercial/Sala Comercial - Comercial - No bairro Centro,Sala Comercial,R$ 12.000.00,R$ None,,,301.19 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12103,Imobiliaria Ativa
SALAS COMERCIAIS DISPONÍVEIS PARA LOCAÇÃO Visibilidade e localização estratégica para o seu negócio! LOCALIZADA na Av. Min. Cirne Lima. próximo ao SAMU - 23 vagas de estacionamento exclusivas para clientes - Alto fluxo de veículos e pedestres,Sala Comercial,R$ 21.432.00,R$ None,,,428.64 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Tocantins/12437,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 5.000.00,R$ None,,,200 m²,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Pioneiro/12464,Imobiliaria Ativa
Ponto Comercial com excelente localização na Avenida Maripá,Sala Comercial,R$ 2.640.00,R$ None,,,28 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12779,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 2.200.00,R$ None,,,51.80 m²,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Pioneiro/12630,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.850.00,R$ 250.00,2,1,,Jardim Concórdia - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Concordia/4405,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 5.950.00,R$ None,,,114.46 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/12333,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 21.100.00,R$ None,,,427.23 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Coopagro/12335,Imobiliaria Ativa
Excelente Sala Comercial com Salão para Reuniões e Eventos,Sala Comercial,R$ 12.960.00,R$ None,1,,700 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12552,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 2.300.00,R$ None,,,37.52 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/5140,Imobiliaria Ativa
Terreno - Lote Urbano,None,R$ 16.000.00,R$ None,,,16056.80 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Terreno/Lote-Urbano/Jardim-Gisela/9156,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.300.00,R$ 250.00,2,,61.67 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/2509,Imobiliaria Ativa
SALA COMERCIAL NOVA NO CENTRO DE TOLEDO - RUI BARBOSA,Sala Comercial,R$ 9.000.00,R$ None,,,220 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12411,Imobiliaria Ativa
SALAS COMERCIAIS DISPONÍVEIS PARA LOCAÇÃO Visibilidade e localização estratégica para o seu negócio! LOCALIZADA na Av. Min. Cirne Lima. próximo ao SAMU - 23 vagas de estacionamento exclusivas para clientes - Alto fluxo de veículos e pedestres,Sala Comercial,R$ 17.800.00,R$ None,,,356.19 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Tocantins/12435,Imobiliaria Ativa
Sala Comercial na Avenida Barão do Rio Branco,Sala Comercial,R$ 2.500.00,R$ None,,,90 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Industrial/12525,Imobiliaria Ativa
Sala Comercial em otima localização no Jardim Gisela,Sala Comercial,R$ 1.700.00,R$ None,,,60 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Gisela/13209,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.950.00,R$ 350.00,2,,57.95 m²,Vila Becker - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Becker/11084,Imobiliaria Ativa
SALAS COMERCIAIS DISPONÍVEIS PARA LOCAÇÃO Visibilidade e localização estratégica para o seu negócio! LOCALIZADAS na Av. Min. Cirne Lima. próximo ao SAMU. 23 vagas de estacionamento exclusivas para clientes. Alto fluxo de veículos e pedestres,Sala Comercial,R$ 83.920.00,R$ None,,,1658.22 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Tocantins/12440,Imobiliaria Ativa
Sala comercial para alugar no jardim são francisco,Sala Comercial,R$ 1.600.00,R$ None,,,263 m²,Jardim Panorama - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Ponto-Comercial/Jardim-Panorama/12959,Imobiliaria Ativa
Sala Comercial em uma das principais vias da cidade,Sala Comercial,R$ 45.000.00,R$ None,,,1198.25 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-Santa-Maria/13076,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 2.950.00,R$ None,,,54.47 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Jardim-La-Salle/10996,Imobiliaria Ativa
